2026-05-19 09:14:42 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 09:14:58 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-19 09:14:58 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 09:15:01 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 09:15:18 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-19 09:15:19 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 09:17:04 | ZONE_CHANGE    | CID:2 | Staff:5 | Zone:Zone A(1)
2026-05-19 09:17:06 | ZONE_CHANGE    | CID:2 | Staff:5 | Zone:Zone B(2)
2026-05-19 09:33:26 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 09:33:29 | ZONE_CHANGE    | CID:2 | Staff:5 | Zone:ทั้งหมด(0)
2026-05-19 10:18:25 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-19 10:18:26 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 10:29:05 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 10:29:19 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-19 10:29:20 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 10:29:56 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-19 10:29:57 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 11:58:23 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 13:10:22 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 13:10:25 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-19 13:10:26 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 14:04:48 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-19 14:04:49 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-19 14:06:56 | LOGIN          | CID:2 | Staff:5 | Staff:Manager1 -
2026-05-19 14:06:58 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:แซนวิซไส้หมู Qty:1 Process:9
2026-05-19 14:06:58 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:แซนวิซไส้ไก่ Qty:1 Process:10
2026-05-19 14:06:59 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:แซนวิซไส้กุ้ง Qty:1 Process:11
2026-05-19 14:07:00 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:SETA Qty:1 Process:1
2026-05-19 14:07:02 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:ข้าวหน้าเนื้อ Qty:1 Process:2
2026-05-19 14:07:07 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:ข้าวผัดไก่ Qty:1 Process:8
2026-05-19 14:07:07 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:ข้าวหน้าหมูทอด Qty:1 Process:7
2026-05-19 14:10:11 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:แซนวิซไส้หมู Qty:1 Process:5
2026-05-19 14:10:11 | CHECKOUT       | CID:2 | Staff:5 | Table:14 Menu:แซนวิซไส้ชีส Qty:1 Process:4
