2026-05-23 09:22:31 | APP_START      | CID:3 | Staff:0 | CID:3
2026-05-23 09:23:38 | APP_START      | CID:3 | Staff:0 | CID:3
2026-05-23 09:23:44 | SETTINGS_SAVE  | CID:3 | Staff:5 | ComputerID:3 StaffID:5
2026-05-23 09:23:45 | APP_START      | CID:3 | Staff:0 | CID:3
2026-05-23 09:24:40 | APP_START      | CID:3 | Staff:0 | CID:3
2026-05-23 09:24:57 | APP_START      | CID:3 | Staff:0 | CID:3
2026-05-23 09:25:01 | SETTINGS_SAVE  | CID:3 | Staff:5 | ComputerID:4 StaffID:5
2026-05-23 09:25:28 | APP_START      | CID:3 | Staff:0 | CID:3
2026-05-23 09:25:52 | APP_START      | CID:3 | Staff:0 | CID:3
