2026-05-22 16:25:07 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 16:25:29 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 16:25:30 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 16:26:37 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 16:26:37 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:48:21 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:48:35 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:48:36 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:48:44 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:48:49 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:48:49 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:48:51 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:48:56 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:48:57 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:49:05 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:49:06 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:49:14 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:49:15 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:49:53 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:49:54 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:49:59 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:50:00 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:50:05 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:50:06 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:50:11 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:50:12 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:50:35 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 21:50:36 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 21:54:39 | LOGIN          | CID:2 | Staff:5 | Staff:Manager1 -
2026-05-22 21:57:04 | LOGOUT         | CID:2 | Staff:5 | Staff:👤 Manager1 -
2026-05-22 21:57:12 | LOGIN          | CID:2 | Staff:5 | Staff:Manager1 -
2026-05-22 21:58:03 | LOGOUT         | CID:2 | Staff:5 | Staff:👤 Manager1 -
2026-05-22 22:00:19 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 22:00:25 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 22:00:25 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 22:00:29 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-22 22:00:30 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-22 22:00:48 | LOGIN          | CID:2 | Staff:5 | Staff:Manager1 -
