2026-05-17 18:39:05 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-17 18:39:28 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-17 18:44:50 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-17 18:44:51 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-17 18:46:31 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-17 18:46:32 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-17 21:58:07 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-17 22:02:13 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-17 22:05:40 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-17 22:06:33 | SETTINGS_SAVE  | CID:2 | Staff:5 | ComputerID:2 StaffID:5
2026-05-17 22:06:34 | APP_START      | CID:2 | Staff:0 | CID:2
2026-05-17 22:06:38 | APP_START      | CID:2 | Staff:0 | CID:2
